Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HAIR	बाल	HAIR - falling	बाल - झड़ना	chel	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	chlol	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	chin	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	colch	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	con	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	cop	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	crot-h	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	elaps	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	ferr	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	ferr-m	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Fl-ac	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	form	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	glon	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Graph	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	hell	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	hep	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	hyper	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	iod	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kali-bi	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kali-c	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kali-i	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kali-n	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kali-s	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	kreos	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Lyc	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	mag-c	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	manc	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	merc	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	merc-c	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	mez	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	naja	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	nat-c	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	nat-m	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	Nit-ac	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	nuph	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	œna	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	op	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	osm	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	petr	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	phos	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	phos-ac	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	psor	2
HAIR	बाल	HAIR - falling	बाल - झड़ना	rhus-v	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	sanic	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	sars	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	secale	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	selen	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	sep	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Sil	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	staph	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Sulph	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	sul-ac	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	syph	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	tabac	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	tep	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	Thuj	3
HAIR	बाल	HAIR - falling	बाल - झड़ना	ust	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	vesp	1
HAIR	बाल	HAIR - falling	बाल - झड़ना	zinc	1
HAIR	बाल	HAIR - handfuls, in	बाल - मुट्ठी भर, में	Lyc	2
HAIR	बाल	HAIR - handfuls, in	बाल - मुट्ठी भर, में	mez	2
HAIR	बाल	HAIR - handfuls, in	बाल - मुट्ठी भर, में	Phos	3
HAIR	बाल	HAIR - handfuls, in	बाल - मुट्ठी भर, में	sulph	1
HAIR	बाल	HAIR - parturition, during	बाल - प्रसव के दौरान	calc	1
HAIR	बाल	HAIR - parturition, during	बाल - प्रसव के दौरान	canth	1
HAIR	बाल	HAIR - parturition, during	बाल - प्रसव के दौरान	carb-v	1
HAIR	बाल	HAIR - parturition, during	बाल - प्रसव के दौरान	Lyc	3
HAIR	बाल	HAIR - parturition, during	बाल - प्रसव के दौरान	nat-m	2
HAIR	बाल	HAIR - pregnancy, during	बाल - गर्भावस्था के दौरान	Lach	3
HAIR	बाल	HAIR - spots, in	बाल - धब्बे, में	Fl-ac	3
HAIR	बाल	HAIR - spots, in	बाल - धब्बे, में	hep	1
HAIR	बाल	HAIR - spots, in	बाल - धब्बे, में	phos	1
HAIR	बाल	HAIR - Occiput on	बाल - सिर के पिछले हिस्से पर	Chel	2
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	ars	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	graph	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	hipp	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	kali-n	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	Lyc	3
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	op	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	phos-ac	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	secale	1
HAIR	बाल	HAIR - gray, becomes	बाल - भूरे हो जाते हैं	sul-ac	1
HAIR	बाल	HAIR - greasy	बाल - चिकने	bry	1
HAIR	बाल	HAIR - greasy	बाल - चिकने	lyssin	1
HAIR	बाल	HAIR - greasy	बाल - चिकने	phos-ac	1
HAIR	बाल	HAIR - lustreless	बाल - चमकहीन	Kali-n	2
HAIR	बाल	HAIR - lustreless	बाल - चमकहीन	psor	1
HAIR	बाल	HAIR - painful when touched	बाल - छूने पर दर्द होना	Am-c	2
HAIR	बाल	HAIR - painful when touched	बाल - छूने पर दर्द होना	carb-v	1
HAIR	बाल	HAIR - painful when touched	बाल - छूने पर दर्द होना	carl	1
HAIR	बाल	HAIR - painful when touched	बाल - छूने पर दर्द होना	chel	1
HAIR	बाल	HAIR - sticks together	बाल - आपस में चिपक जाते हैं	bor	1
HAIR	बाल	HAIR - sticks together	बाल - आपस में चिपक जाते हैं	Mez	2
HAIR	बाल	HAIR - sticks together	बाल - आपस में चिपक जाते हैं	nat-m	1
HAIR	बाल	HAIR - sticks together	बाल - आपस में चिपक जाते हैं	psor	1
HAIR	बाल	HAIR - sticks together - ends at	बाल - आपस में चिपकते हैं - समाप्त होते हैं	Bor	2
HAIR	बाल	HAIR - tangles easily	बाल - आसानी से उलझ जाते हैं	Bor	2
HAIR	बाल	HAIR - tangles easily	बाल - आसानी से उलझ जाते हैं	graph	1
HAIR	बाल	HAIR - tangles easily	बाल - आसानी से उलझ जाते हैं	fl-ac	1
HAIR	बाल	HAIR - tangles easily	बाल - आसानी से उलझ जाते हैं	vinc	1
HEAD	सिर	HEAD - HANDS, holds head with	सिर - हाथ, सिर पकड़ता है	Glon	2
HEAD	सिर	HEAD - HANDS, holds head with	सिर - हाथ, सिर पकड़ता है	hyos	1
HEAD	सिर	HEAD - HANDS, on coughing	सिर - हाथ, खांसने पर	bry	1
HEAD	सिर	HEAD - HANDS, on coughing	सिर - हाथ, खांसने पर	nicc	1
HEAD	सिर	HEAD - HANDS, on coughing	सिर - हाथ, खांसने पर	nux-v	1
HEAD	सिर	HEAD - HANDS, on coughing	सिर - हाथ, खांसने पर	sulph	1
HEAD	सिर	HEAD - HANDS, leans on	सिर - हाथ, सहारा लेता है	Iod	2
HEAD	सिर	HEAD - HANDS, puts to	सिर - हाथ, ले जाता है	Camph	2
HEAD	सिर	HEAD - HANDS, puts to	सिर - हाथ, ले जाता है	verat	1
HEAD	सिर	HEAD - HANDS, rubs with	सिर - हाथ, रगड़ता है	Verat	2
HEAD	सिर	HEAD - HEADLESS, sensation of being	सिर - बिना सिर का, होने की अनुभूति	Asar	2
HEAD	सिर	HEAD - HEADLESS, sensation of being	सिर - बिना सिर का, होने की अनुभूति	calc-i	1
HEAD	सिर	HEAD - HEADLESS, sensation of being	सिर - बिना सिर का, होने की अनुभूति	nit-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	Abies-n	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	acet-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	Acon	2
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	æsc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	æth	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	agar	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	all-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	aloe	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	alum	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ambr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	am-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	am-m	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	anac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ang	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ant-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ant-t	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	Apis	2
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	arg-n	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	arn	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ars	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	asaf	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	asar	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	aster	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	aur	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bad	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bapt	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bar-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bell	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	benz-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	berb	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bism	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bor	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	brom	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	bry	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	calad	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	Calc	3
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	calc-a	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	calc-p	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	camph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cann-i	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cann-s	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	canth	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	carb-an	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	carb-v	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	caust	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cham	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	chel	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	chin	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	chin-s	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cimic	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cinnb	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	clem	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cocc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	coff	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	colch	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	coloc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	con	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	corn	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	croc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	crot-t	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cupr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	curar	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	cycl	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	daph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	dig	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	dios	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	dros	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	dulc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	euph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	euphr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	eupi	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	fl-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	gamb	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	gels	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	gins	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	glon	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	gran	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	graph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	grat	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	gymn	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hæm	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hell	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hura	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hydr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hydr-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hyos	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	hyper	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ign	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ind	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	indg	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	iod	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ip	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	iris	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	jatr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-bi	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-br	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-chl	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-i	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kali-n	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	kalm	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	lac-d	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	Lach	2
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	lact	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	laur	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	led	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	lyc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	lyssin	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mag-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mag-m	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mag-s	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	manc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mang	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	men	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	merc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	merc-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	merl	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mez	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	morph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	mosch	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	naja	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nat-a	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nat-c	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nat-m	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nicc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nit-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nux-j	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nux-m	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	nux-v	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ol-an	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	op	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	pæon	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	petr	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	phel	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	phos	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ph-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	phys	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	phyt	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	pic-ac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	plat	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	plb	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	podo	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	puls	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ran-b	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ran-sc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	rat	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	rheum	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	rhus-t	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ruta	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sabad	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sabin	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sars	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	secale	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	senec	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sep	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sil	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	spig	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	spong	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	squill	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	stann	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	staph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	stram	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	stront	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	sulph	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	tabac	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	tarent	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	taxus	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	ther	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	tell	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	thuj	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	til	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	valer	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	verat	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	verb	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	vinc	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	viol-o	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	xanth	1
HEAD	सिर	HEAD - HEAT	सिर - गर्मी	zinc	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	Alum	2
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	alumn	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	am-m	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	ant-c	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	ant-t	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	bry	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	calc	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	carb-an	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	chin	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	clem	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	cycl	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	dios	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	euphr	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	hipp	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	hyper	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	indg	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	kalm	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	kali-n	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	lyc	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	merc-i-r	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	mez	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	nat-c	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	Nux-v	3
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	petr	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	phos	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	podo	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	sep	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	sulph	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	til	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	zinc	1
HEAD	सिर	HEAD - HEAT - morning	सिर - गर्मी - सुबह	zing	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	Agar	2
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	am-m	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	bar-c	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	calc	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	corn	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	cycl	1
HEAD	सिर	HEAD - HEAT - morning - rising, on	सिर - गर्मी - सुबह - उठने पर	dulc	1
HEAD	सिर	HEAD - HEAT - morning - amel.	सिर - गर्मी - सुबह - घटता है	Sulph	2
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	Berb	2
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	calc	1
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	lyc	1
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	nat-m	1
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	sil	1
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	stann	1
HEAD	सिर	HEAD - HEAT - morning - waking, on	सिर - गर्मी - सुबह - जागने पर	Sulph	3
HEAD	सिर	HEAD - HEAT - forenoon	सिर - गर्मी - पूर्वाह्न	Bry	2
