Chapter (English)	Chapter (Hindi)	Rubric (English)	Rubric (Hindi)	Medicine	Grading
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	Puls	3
HEAD	सिर	HEAD - PAIN, sudden - summer, in, agg.	सिर - दर्द, अचानक - गर्मी में - बढ़ता है	thuj	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Acon	2
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	act-sp	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	agar	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	aloe	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Ant-c	2
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	bar-c	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	bell	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	brom	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	bruc	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Bry	3
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	cadm	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	calc	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	camph	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Cann-i	2
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	carb-v	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	castor	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	chin-s	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	cocc	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	euphr	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	gels	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	gen	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Glon	3
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	hipp	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	hyos	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	ign	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Lach	3
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	manc	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Nat-c	3
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	nat-m	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	nux-v	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	Puls	3
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	selen	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	stram	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	syph	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	sulph	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	ther	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	valer	1
HEAD	सिर	HEAD - PAIN, sudden - sun, from exposure to	सिर - दर्द, अचानक - धूप के संपर्क से	zinc	1
HEAD	सिर	HEAD - PAIN, sudden - amel. in	सिर - दर्द, अचानक - घटता है	Graph	2
HEAD	सिर	HEAD - PAIN, sudden - amel. in	सिर - दर्द, अचानक - घटता है	stront	1
HEAD	सिर	HEAD - PAIN, sudden - in shade	सिर - दर्द, अचानक - छाया में	Brom	2
HEAD	सिर	HEAD - PAIN, sudden - supper amel. after	सिर - दर्द, अचानक - रात के खाने के बाद - घटता है	Am-c	2
HEAD	सिर	HEAD - PAIN, sudden - supper amel. after	सिर - दर्द, अचानक - रात के खाने के बाद - घटता है	lach	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	Ant-t	2
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	bov	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	bufo	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	carb-v	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	nux-v	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	petr	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	rhodo	1
HEAD	सिर	HEAD - PAIN, sudden - suppuration, pain as if from	सिर - दर्द, अचानक - मवाद पड़ने जैसा दर्द	stann	1
HEAD	सिर	HEAD - PAIN, sudden - swallowing, when	सिर - दर्द, अचानक - निगलने पर	Mag-c	2
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	Asaf	2
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	aur	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	fl-ac	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	hep	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	kali-i	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	led	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	merc	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	mez	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	nit-ac	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	phyto	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	syph	1
HEAD	सिर	HEAD - PAIN, sudden - syphilitic	सिर - दर्द, अचानक - सिफलिस संबंधी	Thuj	3
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	Acon	2
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	agar	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	aran	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	aur	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	bry	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	cact	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	calc	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	canth	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	chin	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	cic	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	cocc	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	coff	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	con	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	dros	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	dulc	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	euphr	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	fl-ac	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	glon	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	hyos	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	ign	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	iod	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	lac-c	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	led	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	mag-m	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	merc	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	mez	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	Nat-m	2
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	nux-j	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	nux-v	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	par	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	phos-ac	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	puls	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	rhus-t	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	sang	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	sars	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	sil	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	spig	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	spong	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	sulph	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while, agg.	सिर - दर्द, अचानक - बात करने के दौरान - बढ़ता है	zinc	1
HEAD	सिर	HEAD - PAIN, sudden - talking, while - amel.	सिर - दर्द, अचानक - बात करने के दौरान - घटता है	Eup-per	2
HEAD	सिर	HEAD - PAIN, sudden - talking, while - amel.	सिर - दर्द, अचानक - बात करने के दौरान - घटता है	ham	1
HEAD	सिर	HEAD - PAIN, sudden - distant	सिर - दर्द, अचानक - दूर	Mur-ac	2
HEAD	सिर	HEAD - PAIN, sudden - talking of others	सिर - दर्द, अचानक - दूसरों की बात से	Aran	2
HEAD	सिर	HEAD - PAIN, sudden - talking of others	सिर - दर्द, अचानक - दूसरों की बात से	bar-c	1
HEAD	सिर	HEAD - PAIN, sudden - talking of others	सिर - दर्द, अचानक - दूसरों की बात से	ign	1
HEAD	सिर	HEAD - PAIN, sudden - talking of others	सिर - दर्द, अचानक - दूसरों की बात से	merc	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	Chin	2
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	lach	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	selen	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	sep	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	thuj	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from	सिर - दर्द, अचानक - चाय पीने से	verat	1
HEAD	सिर	HEAD - PAIN, sudden - tea, from - amel.	सिर - दर्द, अचानक - चाय पीने से - घटता है	Ferr-p	2
HEAD	सिर	HEAD - PAIN, sudden - tea, from - strong	सिर - दर्द, अचानक - कड़क चाय से	Carb-ac	2
HEAD	सिर	HEAD - PAIN, sudden - tea, from - strong	सिर - दर्द, अचानक - कड़क चाय से	glon	1
HEAD	सिर	HEAD - PAIN, sudden - teeth, on compressing the	सिर - दर्द, अचानक - दांत भींचने पर	Ind	2
HEAD	सिर	HEAD - PAIN - temperature, from a change of	सिर - दर्द - तापमान में बदलाव से	Carb-v	2
HEAD	सिर	HEAD - PAIN - temperature, from a change of	सिर - दर्द - तापमान में बदलाव से	ran-b	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	Cham	2
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	chin	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	ferr-p	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	hell	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	helon	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	ign	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	nat-s	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	pip-m	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	sabad	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	sin-n	1
HEAD	सिर	HEAD - PAIN - thinking of pain agg.	सिर - दर्द - दर्द के बारे में सोचना - बढ़ता है	staph	1
HEAD	सिर	HEAD - PAIN - thinking of pain - amel.	सिर - दर्द - दर्द के बारे में सोचना - घटता है	Agar	2
HEAD	सिर	HEAD - PAIN - thinking of pain - amel.	सिर - दर्द - दर्द के बारे में सोचना - घटता है	camph	1
HEAD	सिर	HEAD - PAIN - thinking of pain - amel.	सिर - दर्द - दर्द के बारे में सोचना - घटता है	cic	1
HEAD	सिर	HEAD - PAIN - thinking of pain - amel.	सिर - दर्द - दर्द के बारे में सोचना - घटता है	prun	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	Bry	2
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	lach	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	nat-c	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	phos	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	rhodo	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	sep	1
HEAD	सिर	HEAD - PAIN - thunder-storms, air just before, agg.	सिर - दर्द - आंधी-तूफान से ठीक पहले की हवा - बढ़ता है	sil	1
HEAD	सिर	HEAD - PAIN - thunder-storms - during, agg.	सिर - दर्द - आंधी-तूफान के दौरान - बढ़ता है	Nat-p	2
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	Acet-ac	2
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	acon	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	ant-c	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	calad	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	calc	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	caust	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	clem	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	cocc	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	coc-c	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	ferr	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	ferr-i	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	gels	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	glon	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	ign	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	mag-c	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	nat-a	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	nat-m	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	nux-v	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	op	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	par	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	puls	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	spig	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking, from	सिर - दर्द - तंबाकू, धूम्रपान करने से	thuj	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking - amel.	सिर - दर्द - तंबाकू, धूम्रपान करने से - घटता है	Am-c	2
HEAD	सिर	HEAD - PAIN - tobacco, smoking - amel.	सिर - दर्द - तंबाकू, धूम्रपान करने से - घटता है	aran	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking - amel.	सिर - दर्द - तंबाकू, धूम्रपान करने से - घटता है	calc-p	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking - amel.	सिर - दर्द - तंबाकू, धूम्रपान करने से - घटता है	carb-ac	1
HEAD	सिर	HEAD - PAIN - tobacco, smoking - amel.	सिर - दर्द - तंबाकू, धूम्रपान करने से - घटता है	naja	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	Acon	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	agar	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	agn	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	all-c	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	alum	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	arg-m	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	bar-c	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	bell	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	bor	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	bov	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	bry	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	calc	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	camph	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	casc	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	cast	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	carb-an	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	chel	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	chin	2
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	cinnb	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	con	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	cupr	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	daph	1
HEAD	सिर	HEAD - PAIN - touch agg.	सिर - दर्द - छूने से बढ़ता है	grat	1
